Kind;Name;Type;Description
compute.v1.autoscaler;autoscalingPolicy.customMetricUtilizations[].utilizationTarget;double;Target value of the metric which autoscaler should maintain. Must be a positive value.
compute.v1.autoscaler;autoscalingPolicy.customMetricUtilizations[].utilizationTargetType;string;Defines how target utilization value is expressed for a Stackdriver Monitoring metric. Either GAUGE, DELTA_PER_SECOND, or DELTA_PER_MINUTE. If not specified, the default is GAUGE.
compute.v1.autoscaler;autoscalingPolicy.loadBalancingUtilization;nested object;Configuration parameters of autoscaling based on load balancer.
compute.v1.autoscaler;autoscalingPolicy.loadBalancingUtilization.utilizationTarget;double;Fraction of backend capacity utilization (set in HTTP(s) load balancing configuration) that autoscaler should maintain. Must be a positive float value. If not defined, the default is 0.8.
compute.v1.autoscaler;autoscalingPolicy.maxNumReplicas;integer;The maximum number of instances that the autoscaler can scale up to. This is required when creating or updating an autoscaler. The maximum number of replicas should not be lower than minimal number of replicas.
compute.v1.autoscaler;autoscalingPolicy.minNumReplicas;integer;The minimum number of replicas that the autoscaler can scale down to. This cannot be less than 0. If not provided, autoscaler will choose a default value depending on maximum number of instances allowed.
compute.v1.autoscaler;creationTimestamp;string;[Output Only] Creation timestamp in RFC3339 text format.
compute.v1.autoscaler;description;string;An optional description of this resource. Provide this property when you create the resource.
compute.v1.autoscaler;id;unsigned long;[Output Only] The unique identifier for the resource. This identifier is defined by the server.
compute.v1.autoscaler;kind;string;[Output Only] Type of the resource. Always compute#autoscaler for autoscalers.
compute.v1.autoscaler;name;string;Name of the resource. Provided by the client when the resource is created. The name must be 1-63 characters long, and comply with RFC1035. Specifically, the name must be 1-63 characters long and match the regular expression [a-z]([-a-z0-9]*[a-z0-9])? which means the first character must be a lowercase letter, and all following characters must be a dash, lowercase letter, or digit, except the last character, which cannot be a dash.
compute.v1.autoscaler;region;string;[Output Only] URL of the region where the instance group resides (for autoscalers living in regional scope).
compute.v1.autoscaler;selfLink;string;[Output Only] Server-defined URL for the resource.
compute.v1.autoscaler;target;string;URL of the managed instance group that this autoscaler will scale.
compute.v1.autoscaler;zone;string;[Output Only] URL of the zone where the instance group resides (for autoscalers living in zonal scope).
compute.v1.backendService;affinityCookieTtlSec;integer;Lifetime of cookies in seconds if session_affinity is GENERATED_COOKIE. If set to 0, the cookie is non-persistent and lasts only until the end of the browser session (or equivalent). The maximum allowed value for TTL is one day. When the load balancing scheme is INTERNAL, this field is not used.
compute.v1.backendService;backends[];list;The list of backends that serve this BackendService.
compute.v1.backendService;backends[].balancingMode;string;Specifies the balancing mode for this backend. For global HTTP(S) or TCP/SSL load balancing, the default is UTILIZATION. Valid values are UTILIZATION, RATE (for HTTP(S)) and CONNECTION (for TCP/SSL). This cannot be used for internal load balancing.
compute.v1.backendService;backends[].capacityScaler;float;A multiplier applied to the group's maximum servicing capacity (based on UTILIZATION, RATE or CONNECTION). Default value is 1, which means the group will serve up to 100% of its configured capacity (depending on balancingMode). A setting of 0 means the group is completely drained, offering 0% of its available Capacity. Valid range is [0.0,1.0]. This cannot be used for internal load balancing.
compute.v1.backendService;backends[].description;string;An optional description of this resource. Provide this property when you create the resource.
compute.v1.backendService;backends[].group;string;The fully-qualified URL of a zonal Instance Group resource. This instance group defines the list of instances that serve traffic. Member virtual machine instances from each instance group must live in the same zone as the instance group itself. No two backends in a backend service are allowed to use same Instance Group resource. Note that you must specify an Instance Group resource using the fully-qualified URL, rather than a partial URL. When the BackendService has load balancing scheme INTERNAL, the instance group must be in a zone within the same region as the BackendService.
compute.v1.backendService;backends[].maxConnections;integer;The max number of simultaneous connections for the group. Can be used with either CONNECTION or UTILIZATION balancing modes. For CONNECTION mode, either maxConnections or maxConnectionsPerInstance must be set. This cannot be used for internal load balancing.
compute.v1.backendService;backends[].maxConnectionsPerInstance;integer;The max number of simultaneous connections that a single backend instance can handle. This is used to calculate the capacity of the group. Can be used in either CONNECTION or UTILIZATION balancing modes. For CONNECTION mode, either maxConnections or maxConnectionsPerInstance must be set. This cannot be used for internal load balancing.
compute.v1.backendService;backends[].maxRate;integer;The max requests per second (RPS) of the group. Can be used with either RATE or UTILIZATION balancing modes, but required if RATE mode. For RATE mode, either maxRate or maxRatePerInstance must be set. This cannot be used for internal load balancing.
compute.v1.backendService;backends[].maxRatePerInstance;float;The max requests per second (RPS) that a single backend instance can handle.This is used to calculate the capacity of the group. Can be used in either balancing mode. For RATE mode, either maxRate or maxRatePerInstance must be set. This cannot be used for internal load balancing.
compute.v1.backendService;backends[].maxUtilization;float;Used when balancingMode is UTILIZATION. This ratio defines the CPU utilization target for the group. The default is 0.8. Valid range is [0.0, 1.0]. This cannot be used for internal load balancing.
compute.v1.backendService;cdnPolicy;nested object;Cloud CDN configuration for this BackendService.
compute.v1.backendService;cdnPolicy.cacheKeyPolicy;nested object;The CacheKeyPolicy for this CdnPolicy.
compute.v1.backendService;cdnPolicy.cacheKeyPolicy.includeHost;boolean;If true, requests to different hosts will be cached separately.
compute.v1.backendService;cdnPolicy.cacheKeyPolicy.includeProtocol;boolean;If true, http and https requests will be cached separately.
compute.v1.backendService;cdnPolicy.cacheKeyPolicy.includeQueryString;boolean;If true, include query string parameters in the cache key according to query_string_whitelist and query_string_blacklist. If neither is set, the entire query string will be included. If false, the query string will be excluded from the cache key entirely.
compute.v1.backendService;cdnPolicy.cacheKeyPolicy.queryStringBlacklist[];list;Names of query string parameters to exclude in cache keys. All other parameters will be included. Either specify query_string_whitelist or query_string_blacklist, not both. '&' and '=' will be percent encoded and not treated as delimiters.
compute.v1.backendService;cdnPolicy.cacheKeyPolicy.queryStringWhitelist[];list;Names of query string parameters to include in cache keys. All other parameters will be excluded. Either specify query_string_whitelist or query_string_blacklist, not both. '&' and '=' will be percent encoded and not treated as delimiters.
compute.v1.backendService;connectionDraining;nested object;None
compute.v1.backendService;connectionDraining.drainingTimeoutSec;integer;Time for which instance will be drained (not accept new connections, but still work to finish started).
compute.v1.backendService;creationTimestamp;string;[Output Only] Creation timestamp in RFC3339 text format.
compute.v1.backendService;description;string;An optional description of this resource. Provide this property when you create the resource.
compute.v1.backendService;enableCDN;boolean;If true, enable Cloud CDN for this BackendService. When the load balancing scheme is INTERNAL, this field is not used.
compute.v1.backendService;fingerprint;bytes;Fingerprint of this resource. A hash of the contents stored in this object. This field is used in optimistic locking. This field will be ignored when inserting a BackendService. An up-to-date fingerprint must be provided in order to update the BackendService.
compute.v1.backendService;healthChecks[];list;The list of URLs to the HttpHealthCheck or HttpsHealthCheck resource for health checking this BackendService. Currently at most one health check can be specified, and a health check is required. For internal load balancing, a URL to a HealthCheck resource must be specified instead.
compute.v1.backendService;id;unsigned long;[Output Only] The unique identifier for the resource. This identifier is defined by the server.
compute.v1.backendService;kind;string;[Output Only] Type of resource. Always compute#backendService for backend services.
compute.v1.backendService;loadBalancingScheme;string;None
compute.v1.backendService;name;string;Name of the resource. Provided by the client when the resource is created. The name must be 1-63 characters long, and comply with RFC1035. Specifically, the name must be 1-63 characters long and match the regular expression [a-z]([-a-z0-9]*[a-z0-9])? which means the first character must be a lowercase letter, and all following characters must be a dash, lowercase letter, or digit, except the last character, which cannot be a dash.
compute.v1.backendService;port;integer;Deprecated in favor of portName. The TCP port to connect on the backend. The default value is 80. This cannot be used for internal load balancing.
compute.v1.backendService;portName;string;Name of backend port. The same name should appear in the instance groups referenced by this service. Required when the load balancing scheme is EXTERNAL. When the load balancing scheme is INTERNAL, this field is not used.
compute.v1.backendService;protocol;string;The protocol this BackendService uses to communicate with backends. Possible values are HTTP, HTTPS, TCP, and SSL. The default is HTTP. For internal load balancing, the possible values are TCP and UDP, and the default is TCP.
compute.v1.backendService;region;string;[Output Only] URL of the region where the regional backend service resides. This field is not applicable to global backend services.
compute.v1.backendService;selfLink;string;[Output Only] Server-defined URL for the resource.
compute.v1.backendService;sessionAffinity;string;Type of session affinity to use. The default is NONE. When the load balancing scheme is EXTERNAL, can be NONE, CLIENT_IP, or GENERATED_COOKIE. When the load balancing scheme is INTERNAL, can be NONE, CLIENT_IP, CLIENT_IP_PROTO, or CLIENT_IP_PORT_PROTO. When the protocol is UDP, this field is not used.
compute.v1.backendService;timeoutSec;integer;How many seconds to wait for the backend before considering it a failed request. Default is 30 seconds. Valid range is [1, 86400].
compute.v1.disk;creationTimestamp;string;[Output Only] Creation timestamp in RFC3339 text format.
compute.v1.disk;description;string;An optional description of this resource. Provide this property when you create the resource.
compute.v1.disk;diskEncryptionKey;nested object;Encrypts the disk using a customer-supplied encryption key. After you encrypt a disk with a customer-supplied key, you must provide the same key if you use the disk later (e.g. to create a disk snapshot or an image, or to attach the disk to a virtual machine). Customer-supplied encryption keys do not protect access to metadata of the disk. If you do not provide an encryption key when creating the disk, then the disk will be encrypted using an automatically generated key and you do not need to provide a key to use the disk later.
compute.v1.disk;diskEncryptionKey.rawKey;string;Specifies a 256-bit customer-supplied encryption key, encoded in RFC 4648 base64 to either encrypt or decrypt this resource.
compute.v1.disk;diskEncryptionKey.sha256;string;[Output only] The RFC 4648 base64 encoded SHA-256 hash of the customer-supplied encryption key that protects this resource.
compute.v1.disk;id;unsigned long;[Output Only] The unique identifier for the resource. This identifier is defined by the server.
compute.v1.disk;kind;string;[Output Only] Type of the resource. Always compute#disk for disks.
compute.v1.disk;lastAttachTimestamp;string;[Output Only] Last attach timestamp in RFC3339 text format.
compute.v1.disk;lastDetachTimestamp;string;[Output Only] Last detach timestamp in RFC3339 text format.
compute.v1.disk;licenses[];list;Any applicable publicly visible licenses.
compute.v1.disk;name;string;Name of the resource. Provided by the client when the resource is created. The name must be 1-63 characters long, and comply with RFC1035. Specifically, the name must be 1-63 characters long and match the regular expression [a-z]([-a-z0-9]*[a-z0-9])? which means the first character must be a lowercase letter, and all following characters must be a dash, lowercase letter, or digit, except the last character, which cannot be a dash.
compute.v1.disk;options;string;Internal use only.
compute.v1.disk;selfLink;string;[Output Only] Server-defined fully-qualified URL for this resource.
compute.v1.disk;sizeGb;long;Size of the persistent disk, specified in GB. You can specify this field when creating a persistent disk using the sourceImage or sourceSnapshot parameter, or specify it alone to create an empty persistent disk. If you specify this field along with sourceImage or sourceSnapshot, the value of sizeGb must not be less than the size of the sourceImage or the size of the snapshot.
compute.v1.disk;sourceImage;string;The source image used to create this disk. If the source image is deleted, this field will not be set. To create a disk with one of the public operating system images, specify the image by its family name. For example, specify family/debian-8 to use the latest Debian 8 image: projects/debian-cloud/global/images/family/debian-8 Alternatively, use a specific version of a public operating system image: projects/debian-cloud/global/images/debian-8-jessie-vYYYYMMDD To create a disk with a private image that you created, specify the image name in the following format: global/images/my-private-image You can also specify a private image by its image family, which returns the latest version of the image in that family. Replace the image name with family/family-name: global/images/family/my-private-family
compute.v1.disk;sourceImageEncryptionKey;nested object;The customer-supplied encryption key of the source image. Required if the source image is protected by a customer-supplied encryption key.
compute.v1.disk;sourceImageEncryptionKey.rawKey;string;Specifies a 256-bit customer-supplied encryption key, encoded in RFC 4648 base64 to either encrypt or decrypt this resource.
compute.v1.disk;sourceImageEncryptionKey.sha256;string;[Output only] The RFC 4648 base64 encoded SHA-256 hash of the customer-supplied encryption key that protects this resource.
compute.v1.disk;sourceImageId;string;[Output Only] The ID value of the image used to create this disk. This value identifies the exact image that was used to create this persistent disk. For example, if you created the persistent disk from an image that was later deleted and recreated under the same name, the source image ID would identify the exact version of the image that was used.
compute.v1.disk;sourceSnapshot;string;The source snapshot used to create this disk. You can provide this as a partial or full URL to the resource. For example, the following are valid values: https://www.googleapis.com/compute/v1/projects/project/global/snapshots/snapshot projects/project/global/snapshots/snapshot global/snapshots/snapshot
compute.v1.disk;sourceSnapshotEncryptionKey;nested object;The customer-supplied encryption key of the source snapshot. Required if the source snapshot is protected by a customer-supplied encryption key.
compute.v1.disk;sourceSnapshotEncryptionKey.rawKey;string;Specifies a 256-bit customer-supplied encryption key, encoded in RFC 4648 base64 to either encrypt or decrypt this resource.
compute.v1.disk;sourceSnapshotEncryptionKey.sha256;string;[Output only] The RFC 4648 base64 encoded SHA-256 hash of the customer-supplied encryption key that protects this resource.
compute.v1.disk;sourceSnapshotId;string;[Output Only] The unique ID of the snapshot used to create this disk. This value identifies the exact snapshot that was used to create this persistent disk. For example, if you created the persistent disk from a snapshot that was later deleted and recreated under the same name, the source snapshot ID would identify the exact version of the snapshot that was used.
compute.v1.disk;status;string;[Output Only] The status of disk creation.
compute.v1.disk;type;string;URL of the disk type resource describing which disk type to use to create the disk. Provide this when creating the disk.
compute.v1.disk;users[];list;[Output Only] Links to the users of the disk (attached instances) in form: project/zones/zone/instances/instance
compute.v1.disk;zone;string;[Output Only] URL of the zone where the disk resides.
compute.v1.firewall;allowed[];list;The list of ALLOW rules specified by this firewall. Each rule specifies a protocol and port-range tuple that describes a permitted connection.
compute.v1.firewall;allowed[].IPProtocol;string;The IP protocol to which this rule applies. The protocol type is required when creating a firewall rule. This value can either be one of the following well known protocol strings (tcp, udp, icmp, esp, ah, sctp), or the IP protocol number.
compute.v1.firewall;allowed[].ports[];list;An optional list of ports to which this rule applies. This field is only applicable for UDP or TCP protocol. Each entry must be either an integer or a range. If not specified, this rule applies to connections through any port. Example inputs include: ["22"], ["80","443"], and ["12345-12349"].
compute.v1.firewall;creationTimestamp;string;[Output Only] Creation timestamp in RFC3339 text format.
compute.v1.firewall;description;string;An optional description of this resource. Provide this property when you create the resource.
compute.v1.firewall;id;unsigned long;[Output Only] The unique identifier for the resource. This identifier is defined by the server.
compute.v1.firewall;kind;string;[Output Ony] Type of the resource. Always compute#firewall for firewall rules.
compute.v1.firewall;name;string;Name of the resource; provided by the client when the resource is created. The name must be 1-63 characters long, and comply with RFC1035. Specifically, the name must be 1-63 characters long and match the regular expression [a-z]([-a-z0-9]*[a-z0-9])? which means the first character must be a lowercase letter, and all following characters must be a dash, lowercase letter, or digit, except the last character, which cannot be a dash.
compute.v1.firewall;network;string;URL of the network resource for this firewall rule. If not specified when creating a firewall rule, the default network is used: global/networks/default If you choose to specify this property, you can specify the network as a full or partial URL. For example, the following are all valid URLs: https://www.googleapis.com/compute/v1/projects/myproject/global/networks/my-network projects/myproject/global/networks/my-network global/networks/default
compute.v1.firewall;selfLink;string;[Output Only] Server-defined URL for the resource.
compute.v1.firewall;sourceRanges[];list;If source ranges are specified, the firewall will apply only to traffic that has source IP address in these ranges. These ranges must be expressed in CIDR format. One or both of sourceRanges and sourceTags may be set. If both properties are set, the firewall will apply to traffic that has source IP address within sourceRanges OR the source IP that belongs to a tag listed in the sourceTags property. The connection does not need to match both properties for the firewall to apply. Only IPv4 is supported.
compute.v1.firewall;sourceTags[];list;If source tags are specified, the firewall will apply only to traffic with source IP that belongs to a tag listed in source tags. Source tags cannot be used to control traffic to an instance's external IP address. Because tags are associated with an instance, not an IP address. One or both of sourceRanges and sourceTags may be set. If both properties are set, the firewall will apply to traffic that has source IP address within sourceRanges OR the source IP that belongs to a tag listed in the sourceTags property. The connection does not need to match both properties for the firewall to apply.
compute.v1.firewall;targetTags[];list;A list of instance tags indicating sets of instances located in the network that may make network connections as specified in allowed[]. If no targetTags are specified, the firewall rule applies to all instances on the specified network.
compute.v1.forwardingRule;IPAddress;string;The IP address that this forwarding rule is serving on behalf of. For global forwarding rules, the address must be a global IP. For regional forwarding rules, the address must live in the same region as the forwarding rule. By default, this field is empty and an ephemeral IP from the same scope (global or regional) will be assigned. When the load balancing scheme is INTERNAL, this can only be an RFC 1918 IP address belonging to the network/subnetwork configured for the forwarding rule. A reserved address cannot be used. If the field is empty, the IP address will be automatically allocated from the internal IP range of the subnetwork or network configured for this forwarding rule. Only IPv4 is supported.
compute.v1.forwardingRule;IPProtocol;string;The IP protocol to which this rule applies. Valid options are TCP, UDP, ESP, AH, SCTP or ICMP. When the load balancing scheme is INTERNAL, only TCP and UDP are valid.
compute.v1.forwardingRule;backendService;string;This field is not used for external load balancing. For internal load balancing, this field identifies the BackendService resource to receive the matched traffic.
compute.v1.forwardingRule;creationTimestamp;string;[Output Only] Creation timestamp in RFC3339 text format.
compute.v1.forwardingRule;description;string;An optional description of this resource. Provide this property when you create the resource.
compute.v1.forwardingRule;id;unsigned long;[Output Only] The unique identifier for the resource. This identifier is defined by the server.
compute.v1.forwardingRule;kind;string;[Output Only] Type of the resource. Always compute#forwardingRule for Forwarding Rule resources.
compute.v1.forwardingRule;loadBalancingScheme;string;This signifies what the ForwardingRule will be used for and can only take the following values: INTERNAL, EXTERNAL The value of INTERNAL means that this will be used for Internal Network Load Balancing (TCP, UDP). The value of EXTERNAL means that this will be used for External Load Balancing (HTTP(S) LB, External TCP/UDP LB, SSL Proxy)
compute.v1.forwardingRule;name;string;Name of the resource; provided by the client when the resource is created. The name must be 1-63 characters long, and comply with RFC1035. Specifically, the name must be 1-63 characters long and match the regular expression [a-z]([-a-z0-9]*[a-z0-9])? which means the first character must be a lowercase letter, and all following characters must be a dash, lowercase letter, or digit, except the last character, which cannot be a dash.
compute.v1.forwardingRule;network;string;This field is not used for external load balancing. For internal load balancing, this field identifies the network that the load balanced IP should belong to for this Forwarding Rule. If this field is not specified, the default network will be used.
compute.v1.forwardingRule;portRange;string;This field is used along with the target field for TargetHttpProxy, TargetHttpsProxy, TargetSslProxy, TargetTcpProxy, TargetVpnGateway, TargetPool, TargetInstance. Applicable only when IPProtocol is TCP, UDP, or SCTP, only packets addressed to ports in the specified range will be forwarded to target. Forwarding rules with the same [IPAddress, IPProtocol] pair must have disjoint port ranges. Some types of forwarding target have constraints on the acceptable ports: TargetHttpProxy: 80, 8080 TargetHttpsProxy: 443 TargetTcpProxy: 25, 43, 110, 143, 195, 443, 465, 587, 700, 993, 995 TargetSslProxy: 25, 43, 110, 143, 195, 443, 465, 587, 700, 993, 995 TargetVpnGateway: 500, 4500
compute.v1.forwardingRule;ports[];list;This field is used along with the backend_service field for internal load balancing. When the load balancing scheme is INTERNAL, a single port or a comma separated list of ports can be configured. Only packets addressed to these ports will be forwarded to the backends configured with this forwarding rule. You may specify a maximum of up to 5 ports.
compute.v1.forwardingRule;region;string;[Output Only] URL of the region where the regional forwarding rule resides. This field is not applicable to global forwarding rules.
compute.v1.forwardingRule;selfLink;string;[Output Only] Server-defined URL for the resource.
compute.v1.forwardingRule;subnetwork;string;This field is not used for external load balancing. For internal load balancing, this field identifies the subnetwork that the load balanced IP should belong to for this Forwarding Rule. If the network specified is in auto subnet mode, this field is optional. However, if the network is in custom subnet mode, a subnetwork must be specified.
compute.v1.forwardingRule;target;string;The URL of the target resource to receive the matched traffic. For regional forwarding rules, this target must live in the same region as the forwarding rule. For global forwarding rules, this target must be a global load balancing resource. The forwarded traffic must be of a type appropriate to the target object. This field is not used for internal load balancing.
compute.v1.globalAddress;address;string;The static external IP address represented by this resource. Only IPv4 is supported.
compute.v1.globalAddress;creationTimestamp;string;[Output Only] Creation timestamp in RFC3339 text format.
compute.v1.globalAddress;description;string;An optional description of this resource. Provide this property when you create the resource.
compute.v1.globalAddress;id;unsigned long;[Output Only] The unique identifier for the resource. This identifier is defined by the server.
compute.v1.globalAddress;kind;string;[Output Only] Type of the resource. Always compute#address for addresses.
compute.v1.globalAddress;name;string;Name of the resource. Provided by the client when the resource is created. The name must be 1-63 characters long, and comply with RFC1035. Specifically, the name must be 1-63 characters long and match the regular expression [a-z]([-a-z0-9]*[a-z0-9])? which means the first character must be a lowercase letter, and all following characters must be a dash, lowercase letter, or digit, except the last character, which cannot be a dash.
compute.v1.globalAddress;region;string;[Output Only] URL of the region where the regional address resides. This field is not applicable to global addresses.
compute.v1.globalAddress;selfLink;string;[Output Only] Server-defined URL for the resource.
compute.v1.globalAddress;status;string;[Output Only] The status of the address, which can be either IN_USE or RESERVED. An address that is RESERVED is currently reserved and available to use. An IN_USE address is currently being used by another resource and is not available.
compute.v1.globalAddress;users[];list;[Output Only] The URLs of the resources that are using this address.
compute.v1.globalForwardingRule;IPAddress;string;The IP address that this forwarding rule is serving on behalf of. For global forwarding rules, the address must be a global IP. For regional forwarding rules, the address must live in the same region as the forwarding rule. By default, this field is empty and an ephemeral IP from the same scope (global or regional) will be assigned. When the load balancing scheme is INTERNAL, this can only be an RFC 1918 IP address belonging to the network/subnetwork configured for the forwarding rule. A reserved address cannot be used. If the field is empty, the IP address will be automatically allocated from the internal IP range of the subnetwork or network configured for this forwarding rule. Only IPv4 is supported.
compute.v1.globalForwardingRule;IPProtocol;string;The IP protocol to which this rule applies. Valid options are TCP, UDP, ESP, AH, SCTP or ICMP. When the load balancing scheme is INTERNAL, only TCP and UDP are valid.
compute.v1.globalForwardingRule;backendService;string;This field is not used for external load balancing. For internal load balancing, this field identifies the BackendService resource to receive the matched traffic.
compute.v1.globalForwardingRule;creationTimestamp;string;[Output Only] Creation timestamp in RFC3339 text format.
compute.v1.globalForwardingRule;description;string;An optional description of this resource. Provide this property when you create the resource.
compute.v1.globalForwardingRule;id;unsigned long;[Output Only] The unique identifier for the resource. This identifier is defined by the server.
compute.v1.globalForwardingRule;kind;string;[Output Only] Type of the resource. Always compute#forwardingRule for Forwarding Rule resources.
compute.v1.globalForwardingRule;loadBalancingScheme;string;This signifies what the ForwardingRule will be used for and can only take the following values: INTERNAL, EXTERNAL The value of INTERNAL means that this will be used for Internal Network Load Balancing (TCP, UDP). The value of EXTERNAL means that this will be used for External Load Balancing (HTTP(S) LB, External TCP/UDP LB, SSL Proxy)
compute.v1.globalForwardingRule;name;string;Name of the resource; provided by the client when the resource is created. The name must be 1-63 characters long, and comply with RFC1035. Specifically, the name must be 1-63 characters long and match the regular expression [a-z]([-a-z0-9]*[a-z0-9])? which means the first character must be a lowercase letter, and all following characters must be a dash, lowercase letter, or digit, except the last character, which cannot be a dash.
compute.v1.globalForwardingRule;network;string;This field is not used for external load balancing. For internal load balancing, this field identifies the network that the load balanced IP should belong to for this Forwarding Rule. If this field is not specified, the default network will be used.
compute.v1.globalForwardingRule;portRange;string;This field is used along with the target field for TargetHttpProxy, TargetHttpsProxy, TargetSslProxy, TargetTcpProxy, TargetVpnGateway, TargetPool, TargetInstance. Applicable only when IPProtocol is TCP, UDP, or SCTP, only packets addressed to ports in the specified range will be forwarded to target. Forwarding rules with the same [IPAddress, IPProtocol] pair must have disjoint port ranges. Some types of forwarding target have constraints on the acceptable ports: TargetHttpProxy: 80, 8080 TargetHttpsProxy: 443 TargetTcpProxy: 25, 43, 110, 143, 195, 443, 465, 587, 700, 993, 995 TargetSslProxy: 25, 43, 110, 143, 195, 443, 465, 587, 700, 993, 995 TargetVpnGateway: 500, 4500
compute.v1.globalForwardingRule;ports[];list;This field is used along with the backend_service field for internal load balancing. When the load balancing scheme is INTERNAL, a single port or a comma separated list of ports can be configured. Only packets addressed to these ports will be forwarded to the backends configured with this forwarding rule. You may specify a maximum of up to 5 ports.
compute.v1.globalForwardingRule;region;string;[Output Only] URL of the region where the regional forwarding rule resides. This field is not applicable to global forwarding rules.
compute.v1.globalForwardingRule;selfLink;string;[Output Only] Server-defined URL for the resource.
compute.v1.globalForwardingRule;subnetwork;string;This field is not used for external load balancing. For internal load balancing, this field identifies the subnetwork that the load balanced IP should belong to for this Forwarding Rule. If the network specified is in auto subnet mode, this field is optional. However, if the network is in custom subnet mode, a subnetwork must be specified.
compute.v1.globalForwardingRule;target;string;The URL of the target resource to receive the matched traffic. For regional forwarding rules, this target must live in the same region as the forwarding rule. For global forwarding rules, this target must be a global load balancing resource. The forwarded traffic must be of a type appropriate to the target object. This field is not used for internal load balancing.
compute.v1.healthCheck;checkIntervalSec;integer;How often (in seconds) to send a health check. The default value is 5 seconds.
compute.v1.healthCheck;creationTimestamp;string;[Output Only] Creation timestamp in 3339 text format.
compute.v1.healthCheck;description;string;An optional description of this resource. Provide this property when you create the resource.
compute.v1.healthCheck;healthyThreshold;integer;A so-far unhealthy instance will be marked healthy after this many consecutive successes. The default value is 2.
compute.v1.healthCheck;httpHealthCheck;nested object;None
compute.v1.healthCheck;httpHealthCheck.host;string;The value of the host header in the HTTP health check request. If left empty (default value), the IP on behalf of which this health check is performed will be used.
compute.v1.healthCheck;httpHealthCheck.port;integer;The TCP port number for the health check request. The default value is 80. Valid values are 1 through 65535.
compute.v1.healthCheck;httpHealthCheck.portName;string;Port name as defined in InstanceGroup#NamedPort#name. If both port and port_name are defined, port takes precedence.
compute.v1.healthCheck;httpHealthCheck.proxyHeader;string;Specifies the type of proxy header to append before sending data to the backend, either NONE or PROXY_V1. The default is NONE.
compute.v1.healthCheck;httpHealthCheck.requestPath;string;The request path of the HTTP health check request. The default value is /.
compute.v1.healthCheck;httpsHealthCheck;nested object;None
compute.v1.healthCheck;httpsHealthCheck.host;string;The value of the host header in the HTTPS health check request. If left empty (default value), the IP on behalf of which this health check is performed will be used.
compute.v1.healthCheck;httpsHealthCheck.port;integer;The TCP port number for the health check request. The default value is 443. Valid values are 1 through 65535.
compute.v1.healthCheck;httpsHealthCheck.portName;string;Port name as defined in InstanceGroup#NamedPort#name. If both port and port_name are defined, port takes precedence.
compute.v1.healthCheck;httpsHealthCheck.proxyHeader;string;Specifies the type of proxy header to append before sending data to the backend, either NONE or PROXY_V1. The default is NONE.
compute.v1.healthCheck;httpsHealthCheck.requestPath;string;The request path of the HTTPS health check request. The default value is /.
compute.v1.healthCheck;id;unsigned long;[Output Only] The unique identifier for the resource. This identifier is defined by the server.
compute.v1.healthCheck;kind;string;Type of the resource.
compute.v1.healthCheck;name;string;Name of the resource. Provided by the client when the resource is created. The name must be 1-63 characters long, and comply with RFC1035. Specifically, the name must be 1-63 characters long and match the regular expression [a-z]([-a-z0-9]*[a-z0-9])? which means the first character must be a lowercase letter, and all following characters must be a dash, lowercase letter, or digit, except the last character, which cannot be a dash.
compute.v1.healthCheck;selfLink;string;[Output Only] Server-defined URL for the resource.
compute.v1.healthCheck;sslHealthCheck;nested object;None
compute.v1.healthCheck;sslHealthCheck.port;integer;The TCP port number for the health check request. The default value is 443. Valid values are 1 through 65535.
compute.v1.healthCheck;sslHealthCheck.portName;string;Port name as defined in InstanceGroup#NamedPort#name. If both port and port_name are defined, port takes precedence.
compute.v1.healthCheck;sslHealthCheck.proxyHeader;string;Specifies the type of proxy header to append before sending data to the backend, either NONE or PROXY_V1. The default is NONE.
compute.v1.healthCheck;sslHealthCheck.request;string;The application data to send once the SSL connection has been established (default value is empty). If both request and response are empty, the connection establishment alone will indicate health. The request data can only be ASCII.
compute.v1.healthCheck;sslHealthCheck.response;string;The bytes to match against the beginning of the response data. If left empty (the default value), any response will indicate health. The response data can only be ASCII.
compute.v1.healthCheck;tcpHealthCheck;nested object;None
compute.v1.healthCheck;tcpHealthCheck.port;integer;The TCP port number for the health check request. The default value is 80. Valid values are 1 through 65535.
compute.v1.healthCheck;tcpHealthCheck.portName;string;Port name as defined in InstanceGroup#NamedPort#name. If both port and port_name are defined, port takes precedence.
compute.v1.healthCheck;tcpHealthCheck.proxyHeader;string;Specifies the type of proxy header to append before sending data to the backend, either NONE or PROXY_V1. The default is NONE.
compute.v1.healthCheck;tcpHealthCheck.request;string;The application data to send once the TCP connection has been established (default value is empty). If both request and response are empty, the connection establishment alone will indicate health. The request data can only be ASCII.
compute.v1.healthCheck;tcpHealthCheck.response;string;The bytes to match against the beginning of the response data. If left empty (the default value), any response will indicate health. The response data can only be ASCII.
compute.v1.healthCheck;timeoutSec;integer;How long (in seconds) to wait before claiming failure. The default value is 5 seconds. It is invalid for timeoutSec to have greater value than checkIntervalSec.
compute.v1.healthCheck;type;string;Specifies the type of the healthCheck, either TCP, SSL, HTTP or HTTPS. If not specified, the default is TCP. Exactly one of the protocol-specific health check field must be specified, which must match type field.
compute.v1.healthCheck;unhealthyThreshold;integer;A so-far healthy instance will be marked unhealthy after this many consecutive failures. The default value is 2.
